,vorname,anzahl,jahr
909,Alisa,18,2021
910,Alisa,24,2022
911,Alisar,2,2016
912,Alisha,4,2012
913,Alisha,9,2013
914,Alisha,13,2014
915,Alisha,6,2015
916,Alisha,6,2016
917,Alisha,4,2017
918,Alisha,2,2019
919,Alisha,4,2022
920,Alisia,2,2016
921,Alison,2,2019
922,Alissa,11,2012
923,Alissa,13,2013
924,Alissa,10,2014
925,Alissa,9,2015
926,Alissa,19,2016
927,Alissa,15,2017
928,Alissa,6,2018
929,Alissa,4,2019
930,Alissa,10,2020
931,Alissa,13,2021
932,Alissa,6,2022
933,Alissar,2,2014
934,Alissia,2,2017
935,Alissia,2,2018
936,Alissia,2,2020
937,Alister,2,2020
938,Alix,2,2021
939,Aliya,9,2012
940,Aliya,15,2013
941,Aliya,5,2014
942,Aliya,14,2015
943,Aliya,13,2016
944,Aliya,15,2017
945,Aliya,15,2018
946,Aliya,14,2019
947,Aliya,20,2020
948,Aliya,25,2021
949,Aliya,12,2022
950,Aliyah,3,2012
951,Aliyah,11,2013
952,Aliyah,26,2014
953,Aliyah,10,2015
954,Aliyah,7,2016
955,Aliyah,12,2017
956,Aliyah,10,2018
957,Aliyah,13,2019
958,Aliyah,9,2020
959,Aliyah,16,2021
960,Aliyah,19,2022
961,Aliyar,4,2019
962,Aliza,2,2013
963,Aliza,2,2015
964,Aliza,2,2016
965,Aljona,2,2016
966,Aljoscha,6,2012
967,Aljoscha,2,2013
968,Aljoscha,2,2015
969,Aljoscha,4,2016
970,Aljoscha,10,2018
971,Aljoscha,2,2019
972,Aljoscha,2,2021
973,Allan,2,2015
974,Allegra,4,2012
975,Allegra,2,2013
976,Allegra,2,2016
977,Allegra,2,2022
978,Allen,2,2013
979,Allen,2,2017
980,Allison,2,2018
981,Allison,2,2020
982,Alma,64,2012
983,Alma,78,2013
984,Alma,96,2014
985,Alma,94,2015
986,Alma,92,2016
987,Alma,88,2017
988,Alma,113,2018
989,Alma,93,2019
990,Alma,106,2020
991,Alma,124,2021
992,Alma,121,2022
993,Almas,2,2019
994,Almas,2,2022
995,Almila,2,2021
996,Almin,2,2022
997,Almina,2,2012
998,Almina,2,2013
999,Almina,4,2014
1000,Almina,2,2016
